Country/Region,Province,Date
Netherlands,Aruba,16/03/2020
Netherlands,,24/03/2020
Netherlands,Curacao,
Netherlands,Sint Maarten,
New Zealand,,25/03/2020
Nicaragua,,
Niger,,
Nigeria,,25/03/2020
North Macedonia,,18/03/2020
Norway,,12/3/20
Oman,,29/03/2020
Pakistan,,26/03/2020
Palestine,,5/3/20
Panama,,25/03/2020
Papua New Guinea,,
Paraguay,,15/03/2020
Peru,,10/3/20
Philippines,,16/03/2020
Poland,,12/3/20
Portugal,,18/03/2020
Qatar,,11/3/20
Romania,,25/03/2020
Russia,,27/03/2020
Rwanda,,16/03/2020
Saint Kitts and Nevis,,
Saint Lucia,,20/03/2020
Saint Vincent and the Grenadines,,
San Marino,,9/3/20
Saudi Arabia,,15/03/2020
Senegal,,24/03/2020
Serbia,,15/03/2020
Seychelles,,
Sierra Leone,,
Singapore,,26/03/2020
Slovakia,,9/3/20
Slovenia,,11/3/20
Somalia,,19/03/2020
South Africa,,26/03/2020
Spain,,14/03/2020
Sri Lanka,,21/03/2020
Sudan,,
Suriname,,
Sweden,,
Switzerland,,18/03/2020
Syria,,14/03/2020
Taiwan,,2/2/20
Tanzania,,
Thailand,,22/03/2020
Timor-Leste,,
Togo,,20/03/2020
Trinidad and Tobago,,13/03/2020
Tunisia,,20/03/2020
Turkey,,23/03/2020
Uganda,,18/03/2020
Ukraine,,17/03/2020
United Arab Emirates,,24/03/2020
United Kingdom,Anguilla,18/03/2020
United Kingdom,Bermuda,
United Kingdom,British Virgin Islands,
United Kingdom,Cayman Islands,
United Kingdom,Channel Islands,
United Kingdom,Gibraltar,24/03/2020
United Kingdom,Isle of Man,23/03/2020
United Kingdom,Montserrat,
United Kingdom,Turks and Caicos Islands,27/03/2020
United Kingdom,,23/03/2020
Uruguay,,16/03/2020
US,,4/4/20
US,Alabama,4/4/20
US,Alaska,28/03/2020
US,Arizona,31/03/2020
US,Arkansas,
US,California,19/03/2020
US,Colorado,26/03/2020
US,Connecticut,23/03/2020
US,Delaware,24/03/2020
US,District of Columbia,
US,Florida,2/4/20
US,Georgia,
US,Guam,26/03/2020
US,Hawaii,25/03/2020
US,Idaho,25/03/2020
US,Illinois,21/03/2020
US,Indiana,24/03/2020
US,Iowa,
US,Kansas,30/03/2020
US,Kentucky,26/03/2020
US,Louisiana,23/03/2020
US,Maine,2/4/20
US,Maryland,30/03/2020
US,Massachusetts,24/03/2020
US,Michigan,24/03/2020
US,Minnesota,27/03/2020
US,Mississippi,3/4/20
US,Missouri,6/4/20
US,Montana,28/03/2020
US,Nebraska,
US,Nevada,2/4/20
US,New Hampshire,27/03/2020
US,New Jersey,21/03/2020
US,New Mexico,24/03/2020
US,New York,22/03/2020
US,North Carolina,30/03/2020
US,North Dakota,
US,Ohio,23/03/2020
US,Oklahoma,
US,Oregon,23/03/2020
US,Pennsylvania,2/4/20
US,Puerto Rico,13/03/2020
US,Rhode Island,28/03/2020
US,South Carolina,
US,South Dakota,
US,Tennessee,31/03/2020
US,Texas,2/4/20
US,Utah,
US,Vermont,25/03/2020
US,Virgin Islands,25/03/2020
US,Virginia,30/03/2020
US,Washington,23/03/2020
US,West Virginia,24/03/2020
US,Wisconsin,25/03/2020
US,Wyoming,
Uzbekistan,,20/03/2020
Vatican City,,10/3/20
Venezuela,,16/03/2020
Vietnam,,19/03/2020
West Bank and Gaza,,5/3/20
Zambia,,
Zimbabwe,,27/03/2020
